70,24,90,90,0,2300,,Iz,Eiz,w
70.25,24,90,45,0,2300,,16927.38615,15234647.53,94.7528299
70.5,24,90,45,0,2300,,17109.07352,15398166.16,95.09062965
70.722,40,90,0,0,2300,,15346.20601,337616532.2,88.2915548
70.944,40,90,0,0,2300,,15491.40609,340810934.1,88.56914222
71.166,40,90,0,0,2300,,15637.51919,344025422.2,88.84672964
71.388,40,50,0,0,2300,,13717.23956,301779270.4,89.12431705
71.61,40,45,0,0,2300,,13037.71887,286829815.2,89.40190447
71.832,40,40,0,0,2300,,12188.36397,268144007.3,89.67949189
72.082,24,90,90,0,2300,,18289.01665,34749131.63,97.22822647
,,,,,,,,,
,,,,,,,,EI,重量 g
,,,,,,,,1944587927,820.9848261
,,,,,,,,,
,,,,,,,厚みデータ,24,0.125
,,,,,,,,40,0.111
,,,,,,,,,
,,,,,,,ヤング率,0,22000
,,,,,,,(40t),45,900
,,,,,,,,90,1900
,,,,,,,,,
,,,,,,,密度,24,0.001496
,,,,,,,,40,0.001559
