zŠÂ•ª•zÅ“K‰»Œ‹‰Ê
ƒXƒpƒ“•ûŒüˆÊ’uy[m],zŠÂ[m^2/s],—U“±Šp“x[deg],‚½‚í‚İ[m],‚½‚í‚İŠp[deg],‹È‚°ƒ‚[ƒƒ“ƒg,‚¹‚ñ’f—Í,„«,ü–§“x
0.025,4.35006454245,0.52343567915,8.57681970138e-07,0.00196566209827,47.1724995326,-15.0917092055,34375000000.0,0.377
0.07500000000000001,4.35006454245,0.523510208301,4.30300153965e-06,0.00593042354159,47.9748998749,-17.0042887569,34375000000.0,0.377
0.125,4.35006454245,0.523659460684,1.12391571811e-05,0.00996604593243,48.872930319,-18.916870455,34375000000.0,0.377
0.175,4.35006454245,0.523883826283,2.17314815309e-05,0.0140805023265,49.8665919663,-20.8294557312,34375000000.0,0.377
0.225,4.35006454245,0.524183894673,3.58522735674e-05,0.0182817661048,50.9558862045,-22.7420460166,34375000000.0,0.377
0.275,4.35006454245,0.52456046064,5.36807993071e-05,0.0225778110335,52.1408147073,-24.6546427424,34375000000.0,0.377
0.32499999999999996,4.35006454245,0.525014531855,7.53032926064e-05,0.0269766113234,53.4213794349,-26.5672473398,34375000000.0,0.377
0.375,4.35006454245,0.525547338748,0.000100812956066,0.0314861416894,54.7975826336,-28.4798612399,34375000000.0,0.377
0.42500000000000004,4.35006454245,0.526160346811,0.00013030996204,0.0361143774104,56.2694268358,-30.3924858738,34375000000.0,0.377
0.475,4.35006454245,0.526855271582,0.00016390145375,0.040869294389,57.8369148604,-32.3051226727,34375000000.0,0.377
0.525,4.35006454245,0.527634096649,0.0002017015465,0.0457588692108,59.5000498122,-34.2177730676,34375000000.0,0.377
0.575,4.35006454245,0.528499095089,0.000243831329002,0.0507910792043,61.2588350826,-36.1304384896,34375000000.0,0.377
0.625,4.35006454245,0.52945285487,0.000290418864797,0.0559739025002,63.1132743488,-38.0431203698,34375000000.0,0.377
0.675,4.35006454245,0.530498308825,0.000341599193787,0.0613153180916,65.0633715745,-39.955820139,34375000000.0,0.377
0.725,4.35006454245,0.531638770018,0.000397514333867,0.066823305893,67.1091310093,-41.8685392282,34375000000.0,0.377
0.775,4.35006454245,0.532877973441,0.000458313282667,0.0725058468004,69.2505571894,-43.7812790684,34375000000.0,0.377
0.825,4.35006454245,0.534220125268,0.000524152019387,0.0783709227508,71.4876549368,-45.6940410903,34375000000.0,0.377
0.875,4.35006454245,0.535669961176,0.000595193506748,0.0844265167815,73.8204293598,-47.6068267248,34375000000.0,0.377
0.925,4.35006454245,0.537232815605,0.000671607693043,0.0906806130903,76.2488858529,-49.5196374026,34375000000.0,0.377
0.975,4.35006454245,0.538914704365,0.000753571514287,0.0971411970948,78.7730300969,-51.4324745544,34375000000.0,0.377
1.025,4.35006454245,0.540722423616,0.000841268896478,0.103816255492,81.3928680583,-53.3453396108,34375000000.0,0.377
1.0750000000000002,4.35006454245,0.542663669123,0.000934890757959,0.110713776318,84.1084059902,-55.2582340025,34375000000.0,0.377
1.125,4.35006454245,0.544747180821,0.00103463501189,0.117841749008,86.9196504317,-57.1711591598,34375000000.0,0.377
1.1749999999999998,4.35006454245,0.546982919293,0.0011407065688,0.125208164454,89.8266082078,-59.0841165133,34375000000.0,0.377
1.225,4.35006454245,0.549382282818,0.00125331733929,0.132821015069,92.8292864298,-60.9971074932,34375000000.0,0.377
1.275,4.35006454245,0.551958376637,0.00137268623679,0.140688294841,95.9276924952,-62.91013353,34375000000.0,0.377
1.3250000000000002,4.35006454245,0.554726350082,0.00149903918046,0.148817999397,99.1218340874,-64.8231960537,34375000000.0,0.377
1.375,4.35006454245,0.557703823082,0.00163260909815,0.157218126058,102.411719176,-66.7362964946,34375000000.0,0.377
1.4249999999999998,4.35006454245,0.560911431967,0.00177363592954,0.165896673906,105.797356016,-68.6494362826,34375000000.0,0.377
1.475,4.35006454245,0.564373536796,0.00192236662927,0.174861643836,109.27875315,-70.5626168477,34375000000.0,0.377
1.525,4.35006454245,0.568119151206,0.00207905517031,0.18412103862,112.855919405,-72.4758396198,34375000000.0,0.377
1.5750000000000002,4.35006454245,0.572183184242,0.0022439625473,0.193682862964,116.528863895,-74.3891060286,34375000000.0,0.377
1.625,4.35006454245,0.576608128913,0.00241735678012,0.203555123572,120.297596019,-76.3024175038,34375000000.0,0.377
1.6749999999999998,4.35006454245,0.58144640536,0.00259951291746,0.213745829199,124.162125464,-78.2157754749,34375000000.0,0.377
1.725,4.35006454245,0.586763689102,0.00279071304054,0.224262990717,128.122462201,-80.1291813715,34375000000.0,0.377
1.775,4.35006454245,0.592643767899,0.00299124626696,0.235114621173,132.178616487,-82.0426366229,34375000000.0,0.377
1.8250000000000002,4.35006454245,0.599195856837,0.0032014087546,0.246308735843,136.330598866,-83.9561426583,34375000000.0,0.377
1.875,4.35006454245,0.606566037477,0.00342150370566,0.257853352302,140.578420169,-85.8697009069,34375000000.0,0.377
1.9249999999999998,4.35006454245,0.614955976868,0.0036518413708,0.269756490473,144.922091509,-87.7833127976,34375000000.0,0.377
1.975,4.35006454245,0.624655326336,0.00389273905335,0.282026172696,149.361624288,-89.6969797594,34375000000.0,0.377
2.025,4.35006454245,0.636101938112,0.00414452111372,0.294670423779,153.897030194,-91.6107032211,34375000000.0,0.377
2.075,4.35006454245,0.650004808678,0.00440751897377,0.307697271066,158.5283212,-93.5244846112,34375000000.0,0.377
2.125,4.35006454245,0.667630112224,0.00468207112139,0.321114744488,163.255509564,-95.4383253583,34375000000.0,0.377
2.175,4.35006454245,0.691611633348,0.0049685231152,0.334930876632,168.078607831,-97.3522268908,34375000000.0,0.377
2.225,4.35006454245,0.729192511919,0.00526722758925,0.349153702792,172.997628833,-99.2661906369,34375000000.0,0.377
2.275,4.35006454245,0.823832231758,0.00557854425791,0.363791261034,178.012585684,-101.180218025,34375000000.0,0.377
2.325,4.34712946159,0.823415369363,0.00590263111975,0.378373442066,183.123487992,-103.094158772,36671000000.0,0.357
2.375,4.34125929987,0.727950560972,0.00623943849508,0.392894674989,188.330309217,-105.006710025,36671000000.0,0.357
2.425,4.33538913815,0.689546607397,0.00658912056628,0.407827284387,193.632961626,-106.916720548,36671000000.0,0.357
2.475,4.32951897644,0.664743747738,0.00695204112106,0.423178799505,199.031328913,-108.824191577,36671000000.0,0.357
2.525,4.32364881472,0.646298320121,0.00732857058953,0.438956742249,204.525295033,-110.729124346,36671000000.0,0.357
2.575,4.317778653,0.631576207208,0.00771908604046,0.455168627244,210.114744201,-112.631520077,36671000000.0,0.357
2.625,4.31190849128,0.619311002438,0.00812397117755,0.471821961882,215.799560892,-114.531379992,36671000000.0,0.357
2.675,4.30603832956,0.608793533516,0.00854361633589,0.488924246379,221.57962984,-116.428705303,36671000000.0,0.357
2.725,4.30016816784,0.599585806937,0.00897841847843,0.50648297382,227.454836036,-118.323497218,36671000000.0,0.357
2.775,4.29429800612,0.591398052562,0.00942878119258,0.524505630218,233.425064727,-120.215756938,36671000000.0,0.357
2.825,4.2884278444,0.584028499856,0.0098951146869,0.542999694561,239.490201416,-122.105485657,36671000000.0,0.357
2.875,4.28255768269,0.577330974591,0.0103778357879,0.561972638863,245.650131863,-123.992684567,36671000000.0,0.357
2.925,4.27668752097,0.571196176873,0.0108773679369,0.58143192822,251.90474208,-125.877354849,36671000000.0,0.357
2.975,4.27081735925,0.56554023992,0.0113941411869,0.601385020857,258.253918332,-127.759497682,36671000000.0,0.357
3.025,4.26494719753,0.560297413521,0.0119285921998,0.62183936818,264.697547137,-129.639114236,36671000000.0,0.357
3.075,4.25907703581,0.555415206086,0.0124811642434,0.642802414829,271.235515263,-131.516205676,36671000000.0,0.357
3.125,4.25320687409,0.550851055566,0.0130523071889,0.664281598725,277.867709731,-133.390773163,36671000000.0,0.357
3.175,4.24733671237,0.546569985642,0.0136424775076,0.686284351125,284.59401781,-135.262817849,36671000000.0,0.357
3.225,4.24146655066,0.542542916645,0.0142521382693,0.708818096667,291.414327016,-137.132340881,36671000000.0,0.357
3.275,4.23559638894,0.538745423291,0.0148817591387,0.731890253428,298.328525114,-138.999343401,36671000000.0,0.357
3.325,4.22972622722,0.535156804497,0.015531816374,0.755508232965,305.336500118,-140.863826544,36671000000.0,0.357
3.375,4.2238560655,0.531759375709,0.0162027928239,0.779679440374,312.438140284,-142.725791438,36671000000.0,0.357
3.425,4.21798590378,0.528537922851,0.0168951779255,0.804411274334,319.633334116,-144.585239208,36671000000.0,0.357
3.475,4.21211574206,0.52547927555,0.0176094677027,0.829711127157,326.921970359,-146.442170969,36671000000.0,0.357
3.525,4.20624558034,0.522571969784,0.0183461647633,0.855586384842,334.303938005,-148.296587834,36671000000.0,0.357
3.575,4.20037541862,0.519805978406,0.0191057782977,0.88204442712,341.779126285,-150.148490907,36671000000.0,0.357
3.625,4.19450525691,0.517172493878,0.0198888240768,0.909092627506,349.347424673,-151.997881287,36671000000.0,0.357
3.675,4.18863509519,0.514663751604,0.0206958244502,0.936738353345,357.008722882,-153.844760067,36671000000.0,0.357
3.725,4.18276493347,0.512272885143,0.0215273083447,0.964988965866,364.762910867,-155.689128334,36671000000.0,0.357
3.775,4.17689477175,0.509993806768,0.0223838112623,0.993851820226,372.609878819,-157.530987169,36671000000.0,0.357
3.825,4.17102461003,0.507821108268,0.0232658752791,1.02333426556,380.549517168,-159.370337647,36671000000.0,0.357
3.875,4.16515444831,0.505749978138,0.0241740490438,1.05344364504,388.581716581,-161.207180835,36671000000.0,0.357
3.925,4.15928428659,0.503776132086,0.0251088877761,1.0841872959,396.70636796,-163.041517799,36671000000.0,0.357
3.975,4.15341412487,0.501895754484,0.0260709532658,1.1155725495,404.923362442,-164.873349592,36671000000.0,0.357
